"given_name","powo_taxa","powo_author","powo_dist","Champion1968","Choudhary2007","Choudhary2012","eFI2022","FOI2022","Gupta1998","Radha2019","Subramani2014","Thakur2021a"
"Dasiphora fruticosa","Dasiphora fruticosa","(L.) Rydb.","Native",0,0,0,0,0,0,0,1,0
"Delphinium denudatum","Delphinium denudatum","Wall. ex Hook.f. & Thomson","Native",0,0,1,1,0,0,0,0,0
"Delphinium vestitum","Delphinium vestitum","Wall. ex Royle","Native",0,0,0,1,0,1,0,1,0
"Desmodium tiliifolium","Sunhangia elegans","(DC.) H.Ohashi & K.Ohashi","Native",0,0,1,0,0,0,0,0,0
"Deutzia corymbosa","Deutzia corymbosa","R.Br. ex G.Don","Native",1,0,0,0,0,0,0,1,0
"Deutzia staminea","Deutzia staminea","R.Br. ex Wall.","Native",0,0,0,1,0,0,0,0,0
"Dichrocephala integrifolia","Dichrocephala integrifolia","(L.f.) Kuntze","Native",0,0,0,1,0,0,0,0,0
"Dienia cylindrostachya","Dienia cylindrostachya","Lindl.","Native",0,0,0,0,0,0,0,1,0
"Digitaria cruciata","Digitaria cruciata","(Nees ex Steud.) E.G.Camus & A.Camus","Native",0,0,0,0,0,0,0,1,0
"Dioscorea deltoidea","Dioscorea deltoidea","Wall. ex Griseb.","Native",0,1,0,0,0,1,1,1,0
"Dioscorea melanophyma","Dioscorea melanophyma","Prain & Burkill","Native",0,0,0,0,0,0,0,1,0
"Diospyros montana","Diospyros montana","Roxb.",NA,0,0,0,1,0,0,0,0,0
"Dipsacus inermis","Dipsacus inermis","Wall.","Native",0,0,0,0,0,1,0,0,0
"Disporum cantoniense","Disporum cantoniense","(Lour.) Merr.","Native",0,0,0,0,0,0,0,1,0
"Drosera peltata","Drosera lunata","Buch.-Ham. ex DC.","Native",0,0,1,0,0,0,0,0,0
"Duchesnea indica","Potentilla indica","(Andrews) Th.Wolf","Native",0,0,0,1,0,0,0,0,0
"Echinochloa colonum","Echinochloa colonum","(L.) Link","Native",0,0,0,0,0,0,0,1,0
"Echinochloa crus-galli","Echinochloa crus-galli","(L.) P.Beauv.","Native",0,0,0,0,0,0,0,1,0
"Elaeagnus parvifolia","Elaeagnus umbellata","Thunb.","Native",0,0,0,0,0,0,0,1,0
"Eleocharis congesta","Eleocharis congesta","D.Don","Native",0,0,0,0,0,0,0,1,0
"Eleocharis palustris","Eleocharis palustris","(L.) Roem. & Schult.","Native",0,0,0,0,0,0,0,1,0
"Elsholtzia ciliata","Elsholtzia ciliata","(Thunb.) Hyl.","Native",0,0,0,0,0,0,0,1,0
"Elsholtzia eriostachya","Elsholtzia eriostachya","(Benth.) Benth.","Native",0,0,0,0,0,1,0,0,0
"Elsholtzia polystachya","Elsholtzia fruticosa","(D.Don) Rehder","Native",0,0,1,0,0,1,0,0,0
"Elsholtzia strobilifera","Elsholtzia strobilifera","(Benth.) Benth.","Native",0,0,0,0,0,1,0,0,0
"Epilobium brevifolium","Epilobium brevifolium","D.Don","Native",0,0,1,0,0,0,0,1,0
"Epilobium cylindricum","Epilobium cylindricum","D.Don","Native",0,0,0,0,0,1,0,1,0
"Epilobium latifolium","Epilobium latifolium","L.","Native",0,0,0,0,0,0,0,1,0
"Epilobium laxum","Epilobium laxum","Royle","Native",0,0,0,0,0,0,0,1,0
"Epilobium royleanum","Epilobium royleanum","Hausskn.","Native",0,0,0,0,0,0,0,1,0
"Epipactis helleborine","Epipactis helleborine","(L.) Crantz","Native",0,0,1,0,0,0,0,1,0
"Epipactis latifolia","Epipactis helleborine","(L.) Crantz","Native",0,0,0,0,0,1,0,0,0
"Epipactis royleana","Epipactis royleana","Lindl.","Native",0,0,0,0,0,1,0,0,0
"Eragrostis pilosa","Eragrostis pilosa","(L.) P.Beauv.","Native",0,0,0,0,0,0,0,1,0
"Erigeron alpinus","Erigeron uniflorus","L.","Native",0,0,0,0,0,0,0,1,0
"Erigeron multiradiatus","Erigeron multiradiatus","(Lindl. ex DC.) Benth. & Hook.f.","Native",0,0,0,0,0,0,0,1,0
"Eriocapitella vitifolia","Eriocapitella vitifolia","(Buch.-Ham. ex DC.) Nakai","Native",0,0,0,1,0,0,0,0,0
"Erodium cicutarium","Erodium cicutarium","(L.) L'Hér.","Native",0,0,0,0,0,0,0,1,0
"Erysimum hieraciifolium","Erysimum virgatum","Roth","Native",0,0,0,1,0,0,0,0,0
"Euonymus echinatus","Euonymus echinatus","Wall.","Native",0,0,0,0,0,0,0,1,0
"Euonymus hamiltonianus","Euonymus hamiltonianus","Wall.","Native",0,0,1,0,0,0,0,1,0
"Euonymus lacerus","Euonymus fimbriatus","Wall.","Native",1,0,0,0,0,0,0,0,0
"Euonymus lucidus","Euonymus lucidus","D.Don","Native",0,0,0,1,0,0,0,1,1
