given_name,POWOAccepted,POWODist,Champion1968,Choudhary2007,Choudhary2012,eFI2022,FOI2022,Gupta1998,Radha2019,Subramani2014,Thakur2021a
Dasiphora fruticosa (L.) Rydb.,Dasiphora fruticosa (L.) Rydb.,Native,0,0,0,0,0,0,0,1,0
Delphinium denudatum Wall. ex Hook.f. & Thomson,Delphinium denudatum Wall. ex Hook.f. & Thomson,Native,0,0,1,1,0,0,0,0,0
Delphinium vestitum Wall. ex Royle,Delphinium vestitum Wall. ex Royle,Native,0,0,0,1,0,1,0,1,0
Desmodium tiliifolium (D.Don) G.Don,Sunhangia elegans (DC.) H.Ohashi & K.Ohashi,Native,0,0,1,0,0,0,0,0,0
Deutzia corymbosa R.Br. ex G.Don,Deutzia corymbosa R.Br. ex G.Don,Native,1,0,0,0,0,0,0,1,0
Deutzia staminea R.Br. ex Wall.,Deutzia staminea R.Br. ex Wall.,Native,0,0,0,1,0,0,0,0,0
Dichrocephala integrifolia (L.f.) Kuntze,Dichrocephala integrifolia (L.f.) Kuntze,Native,0,0,0,1,0,0,0,0,0
Dienia cylindrostachya Lindl.,Dienia cylindrostachya Lindl.,Native,0,0,0,0,0,0,0,1,0
Digitaria cruciata (Nees ex Steud.) E.G.Camus & A.Camus,Digitaria cruciata (Nees ex Steud.) E.G.Camus & A.Camus,Native,0,0,0,0,0,0,0,1,0
Dioscorea deltoidea Wall. ex Griseb.,Dioscorea deltoidea Wall. ex Griseb.,Native,0,1,0,0,0,1,1,1,0
Dioscorea melanophyma Prain & Burkill,Dioscorea melanophyma Prain & Burkill,Native,0,0,0,0,0,0,0,1,0
Diospyros montana Roxb.,Diospyros montana Roxb.,NA,0,0,0,1,0,0,0,0,0
Dipsacus inermis Wall.,Dipsacus inermis Wall.,Native,0,0,0,0,0,1,0,0,0
Disporum cantoniense (Lour.) Merr.,Disporum cantoniense (Lour.) Merr.,Native,0,0,0,0,0,0,0,1,0
Drosera peltata Thunb.*,Drosera lunata Buch.-Ham. ex DC.,Native,0,0,1,0,0,0,0,0,0
Duchesnea indica (Andrews) Teschem.,Potentilla indica (Andrews) Th.Wolf,Native,0,0,0,1,0,0,0,0,0
Echinochloa colonum (L.) Link,Echinochloa colonum (L.) Link,Native,0,0,0,0,0,0,0,1,0
Echinochloa crus-galli (L.) P.Beauv.,Echinochloa crus-galli (L.) P.Beauv.,Native,0,0,0,0,0,0,0,1,0
Elaeagnus parvifolia Wall. ex Royle,Elaeagnus umbellata Thunb.,Native,0,0,0,0,0,0,0,1,0
Eleocharis congesta D.Don,Eleocharis congesta D.Don,Native,0,0,0,0,0,0,0,1,0
Eleocharis palustris (L.) Roem. & Schult.,Eleocharis palustris (L.) Roem. & Schult.,Native,0,0,0,0,0,0,0,1,0
Elsholtzia ciliata (Thunb.) Hyl.,Elsholtzia ciliata (Thunb.) Hyl.,Native,0,0,0,0,0,0,0,1,0
Elsholtzia eriostachya (Benth.) Benth.,Elsholtzia eriostachya (Benth.) Benth.,Native,0,0,0,0,0,1,0,0,0
Elsholtzia polystachya Benth.,Elsholtzia fruticosa (D.Don) Rehder,Native,0,0,1,0,0,1,0,0,0
Elsholtzia strobilifera (Benth.) Benth.,Elsholtzia strobilifera (Benth.) Benth.,Native,0,0,0,0,0,1,0,0,0
Epilobium brevifolium D.Don,Epilobium brevifolium D.Don,Native,0,0,1,0,0,0,0,1,0
Epilobium cylindricum D.Don,Epilobium cylindricum D.Don,Native,0,0,0,0,0,1,0,1,0
Epilobium latifolium L.,Epilobium latifolium L.,Native,0,0,0,0,0,0,0,1,0
Epilobium laxum Royle,Epilobium laxum Royle,Native,0,0,0,0,0,0,0,1,0
Epilobium royleanum Hausskn.,Epilobium royleanum Hausskn.,Native,0,0,0,0,0,0,0,1,0
Epipactis helleborine (L.) Crantz,Epipactis helleborine (L.) Crantz,Native,0,0,1,0,0,0,0,1,0
